Name Longitude Latitude
Pedicularis_tahaiensis 103.2765 26.21781
Pedicularis_tahaiensis 102.8635 26.10426
Pedicularis_hongii 99.28325 27.34327
Pedicularis_longipetiolata 99.66282 27.86268
Pedicularis_longipetiolata 99.99234 27.40655
Pedicularis_longipetiolata 100.0815 28.27901
Pedicularis_longipetiolata 99.69226 27.85032
Pedicularis_longipetiolata 99.84779 27.79131
Pedicularis_longipetiolata 99.39483 26.25981
Pedicularis_longipetiolata 100.5409 27.71236
Pedicularis_longipetiolata 102.2846 29.16648
Pedicularis_longipetiolata 100.0749 27.3085
Pedicularis_cephalantha 99.70166 27.51384
Pedicularis_cephalantha 99.84383 27.58321
Pedicularis_cephalantha 99.78785 27.58876
Pedicularis_cephalantha 99.73869 27.64792
Pedicularis_cephalantha 99.90382 27.63462
Pedicularis_cephalantha 99.73859 27.82527
Pedicularis_cephalantha 99.6596 27.88523
Pedicularis_cephalantha 99.9486 27.82411
Pedicularis_cephalantha 99.93551 27.90497
Pedicularis_cephalantha 100.3843 28.38111
Pedicularis_cephalantha 101.9403 29.8838
Pedicularis_cephalantha 100.1709 26.98601
Pedicularis_cephalantha 99.91796 25.79265
Pedicularis_cephalantha 100.7174 27.54957
Pedicularis_cephalantha 100.7763 28.38566
Pedicularis_cephalantha 99.59809 27.77787
Pedicularis_dissectifolia 101.5946 27.86792
Pedicularis_dissectifolia 99.56825 27.80813
Pedicularis_dissectifolia 98.9964 28.45557
Pedicularis_monbeigiana 99.27334 27.30552
Pedicularis_monbeigiana 98.98567 28.41975
Pedicularis_monbeigiana 98.92897 26.53865
Pedicularis_monbeigiana 98.67204 27.71749
Pedicularis_monbeigiana 98.92322 26.92016
Pedicularis_monbeigiana 98.48496 27.77695
Pedicularis_monbeigiana 98.82282 28.48864
Pedicularis_monbeigiana 98.62029 28.01391
Pedicularis_monbeigiana 99.14351 26.98047
Pedicularis_monbeigiana 98.75635 28.07667
Pedicularis_monbeigiana 98.33876 27.86644
Pedicularis_praeruptorum 98.98418 28.39949
Pedicularis_praeruptorum 98.76581 28.0647
Pedicularis_praeruptorum 97.70588 28.72061
Pedicularis_praeruptorum 100.0906 25.67365
Pedicularis_praeruptorum 98.92635 27.34354
